Orthomosaic,Train/Test,Mapper,Source,Platform / Provider,Event,Date (mm/dd/yyy),Pre/Post Event,GSD (m/px),Gigapixels Counted,Area (mi^2),BDA: No Damage,BDA: Minor Damage,BDA: Major Damage,BDA: Destroyed,BDA: Un-classified,Total Buildings,ADJ Count
1002-Kelly-Road.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.008704739,0.188370368,64,17,0,0,12,93,18
1002-Palm-Acers.1.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.006505174,0.202773728,64,63,25,0,12,164,37
1002-Palm-Acers.2.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.012437776,0.387615547,155,37,1,0,2,195,27
1002-Palm-Acers.2.geo.tif_20220930c_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.01791156,0.387556174,157,34,1,0,2,194,38
1002-Palm-Acers.3.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.007211892,0.22481539,46,9,0,0,0,55,15
1002-Palm-Acers.4.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.010443288,0.325513224,25,3,6,2,15,51,35
1002-Palm-Acers.4.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.001408572,0.030482875,318,222,108,5,40,693,3
1002-Sanibel-Causeway-North.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.001493883,0.046571436,6,1,0,1,3,11,2
10132018-MexicoBeach.geo.tif_20181011a_RGB.geo.tif,Test,N/A,Crewed Aircraft,NOAA,Hurricane Michael,10/11/2018,POST,0.300349465,0.020433211,0.616505392,51,147,107,195,19,519,40
10142018-MexicoBeach.geo.tif_20181011a_RGB.geo.tif,Test,N/A,Crewed Aircraft,NOAA,Hurricane Michael,10/11/2018,POST,0.300349465,0.025954768,0.781312041,108,307,118,80,21,634,18
20210831-LA-DIV-01.geo.tif_20210831a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ida,8/31/2021,POST,0.150160807,0.134170047,1.019167733,161,164,213,16,10,564,132
20210901-Cocodrie-2.geo.tif_20210831a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ida,8/31/2021,POST,0.150160807,0.003268482,0.024819516,3,1,9,1,0,14,2
20210901-Cocodrie-3.geo.tif_20210831a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ida,8/31/2021,POST,0.150160807,0.017810254,0.135229157,7,12,38,8,3,68,16
20210902-LA-DIV-01.geo.tif_20210831a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ida,8/31/2021,POST,0.150160807,0.077773351,0.590979434,5,82,185,72,4,348,94
20230830-SteinhatcheeRiver.geo.tif_20230831a_RGB.geo.tif,Test,N/A,Crewed Aircraft,NOAA,Hurricane Idalia,8/31/2023,POST,0.150160807,0.137116414,1.037196715,473,49,23,3,39,608,121
20230830-SteinhatcheeRiver.geo.tif_20230902a_RGB.geo.tif,Test,N/A,Crewed Aircraft,NOAA,Hurricane Idalia,9/2/2023,POST,0.150160807,0.137116414,1.037197169,469,55,18,4,42,613,68
20230831-Jena-SteinhatcheeRiverSouth.geo.tif_20230831a_RGB.geo.tif,Test,N/A,Crewed Aircraft,NOAA,Hurricane Idalia,8/31/2023,POST,0.150160807,0.133434377,1.009404953,100,12,3,1,16,139,31
20230831-Jena-SteinhatcheeRiverSouth.geo.tif_20230902a_RGB.geo.tif,Test,N/A,Crewed Aircraft,NOAA,Hurricane Idalia,9/2/2023,POST,0.150160807,0.153238102,1.159222744,128,10,3,1,14,157,40
090302-Pecan-Grove-Levee.geo.tif_103001006F018C00.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Harvey,8/30/2017,POST,0.706503232,0.00331814,0.555759124,245,0,0,0,102,641,6
090302-Pecan-Grove-Levee.geo.tif_103001006F884000.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Harvey,8/30/2017,POST,0.803628676,0.002567364,0.556365472,239,0,0,0,88,639,8
090401-DMS-Assessment-Westpark.geo.tif_103001006F018C00.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Harvey,8/30/2017,POST,0.706503232,0.00018095,0.030289812,0,0,0,0,2,4,0
090401-DMS-Assessment-Westpark.geo.tif_103001006F884000.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Harvey,8/30/2017,POST,0.803628676,0.000139984,0.030317887,0,0,0,0,2,4,0
090402-DMS-Assessment-Sienna-Village.geo.tif_1030010066D17500.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Harvey,2/16/2017,PRE,0.553224753,0.000768102,0.078975063,9,0,0,0,5,16,1
090402-DMS-Assessment-Sienna-Village.geo.tif_103001006F884000.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Harvey,8/30/2017,POST,0.803628676,0.000364568,0.079095851,12,0,0,0,4,16,1
090403-Lancaster-Canyon-Gate.geo.tif_103001006F018C00.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Harvey,8/30/2017,POST,0.706503232,0.002044525,0.341972808,0,0,258,0,18,647,6
090403-Lancaster-Canyon-Gate.geo.tif_103001006F884000.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Harvey,8/30/2017,POST,0.803628676,0.00155979,0.337801474,0,0,240,0,22,644,2
1001-Ft-Myers-Beach-Boone.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.045666497,1.649657801,904,0,0,0,6,912,22
1001-Ft-Myers-Beach-Boone.geo.tif_10200100B5D89900-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,8/17/2021,PRE,0.305175781,0.045666497,1.649776153,906,0,0,0,5,912,0
1001-Ft-Myers-Beach-Boone.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.045666477,1.649181107,512,0,0,0,6,549,113
1001-Ft-Myers-Beach-Boone.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.045666368,1.647829533,629,210,24,55,12,932,28
1001-Ft-Myers-Beach-Boone.geo.tif_10400100703E5500-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,1/21/2022,PRE,0.305175781,0.018784063,0.676830922,643,204,18,56,12,933,68
1001-Ft-Myers-Beach-DIRT.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.022544563,0.81438045,938,0,0,0,2,943,66
1001-Ft-Myers-Beach-DIRT.geo.tif_10300100DA368900-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.01812789,0.654848898,392,282,47,213,9,943,55
1001-Ft-Myers-Beach-DIRT.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.022544553,0.81435639,915,0,0,1,13,943,75
1001-Ft-Myers-Beach-DIRT.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.02254454,0.814226373,371,299,51,212,10,943,17
1001-Ft-Myers-Beach-DIRT.geo.tif_10400100703E5500-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,1/21/2022,PRE,0.305175781,0.022544553,0.814290099,343,268,40,207,11,869,729
1001-Harlem-Heights.geo.tif_10200100B01E7400-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,5/7/2021,PRE,0.305175781,0.009112618,0.329185295,929,0,0,0,47,988,10
1001-Harlem-Heights.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.009112618,0.329186487,917,0,0,0,64,988,137
1001-Harlem-Heights.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.009112011,0.328886573,949,0,0,0,26,978,62
1001-Harlem-Heights.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.009112603,0.329041841,658,205,43,8,67,981,2
1001-Harlem-Heights.geo.tif_10400100703E5500-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,1/21/2022,PRE,0.305175781,0.009112618,0.32919523,675,198,35,8,69,985,295
1001-Iona-Point.geo.tif_10200100B01E7400-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,5/7/2021,PRE,0.305175781,0.018822031,0.676720711,689,0,0,0,18,708,62
1001-Iona-Point.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.018822028,0.676727033,681,0,0,0,23,707,138
1001-Iona-Point.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.018821475,0.675064117,684,0,0,0,17,706,68
1001-Iona-Point.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.018821382,0.675214618,664,16,1,2,23,706,13
1001-Iona-Point.geo.tif_10400100703E5500-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,1/21/2022,PRE,0.305175781,0.01882203,0.676761966,630,42,4,5,25,706,249
1001-Kennedy-Green-Mobile-Homes.geo.tif_10200100B01E7400-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,5/7/2021,PRE,0.305175781,0.010037209,0.36259155,1010,0,0,0,27,1047,27
1001-Kennedy-Green-Mobile-Homes.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.01003721,0.362585626,1011,0,0,0,24,1045,116
1001-Kennedy-Green-Mobile-Homes.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.010036056,0.361884075,473,351,144,15,63,1049,189
1001-Kennedy-Green-Mobile-Homes.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.010037022,0.362342286,529,311,128,13,64,1047,130
1001-McGregor-College-Pkwy-South.1.geo.tif_10200100B01E7400-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,5/7/2021,PRE,0.305175781,0.009605387,0.346927538,289,49,2,1,26,367,9
1001-McGregor-College-Pkwy-South.1.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.009605389,0.346922047,342,0,0,0,25,367,37
1001-McGregor-College-Pkwy-South.1.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.009590133,0.343345758,345,1,0,0,21,367,67
1001-McGregor-College-Pkwy-South.1.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.009604769,0.343806684,909,103,9,3,18,1043,58
1001-McGregor-College-Pkwy-South.1.geo.tif_10400100703E5500-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,1/21/2022,PRE,0.305175781,0.00960539,0.346996394,287,51,2,1,26,367,42
1001-McGregor-College-Pkwy-South.2.geo.tif_10200100B01E7400-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,5/7/2021,PRE,0.305175781,0.006426117,0.232088896,213,40,0,1,26,280,7
1001-McGregor-College-Pkwy-South.2.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.006426118,0.232081743,252,0,0,0,23,275,9
1001-McGregor-College-Pkwy-South.2.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.006414813,0.228307881,259,1,0,0,21,281,25
1001-McGregor-College-Pkwy-South.2.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.006423691,0.229367915,300,0,0,0,23,367,12
1001-McGregor-College-Pkwy-South.2.geo.tif_10400100703E5500-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,1/21/2022,PRE,0.305175781,0.006426119,0.232140447,216,38,0,1,25,280,12
1001-McGregor-College-Pkwy-South.3.geo.tif_10200100B01E7400-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,5/7/2021,PRE,0.305175781,0.007492525,0.270616675,199,0,0,0,23,223,7
1001-McGregor-College-Pkwy-South.3.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.00749252,0.270619926,206,0,0,0,19,272,16
1001-McGregor-College-Pkwy-South.3.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.007475102,0.268777631,185,15,0,0,24,224,16
1001-McGregor-College-Pkwy-South.3.geo.tif_10300100DA63D300-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.002454589,0.087941,177,19,0,0,28,224,6
1001-McGregor-College-Pkwy-South.3.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.007490146,0.269081448,74,5,0,0,13,92,6
1001-McGregor-College-Pkwy-South.3.geo.tif_10400100703E5500-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,1/21/2022,PRE,0.305175781,0.007492525,0.270670972,197,0,0,0,25,223,24
1001-Palmeto-Palms.geo.tif_10200100B01E7400-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,5/7/2021,PRE,0.305175781,0.008907805,0.319845131,1449,0,0,0,27,1481,5
1001-Palmeto-Palms.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.008907805,0.319844011,1426,0,0,0,36,1481,153
1001-Palmeto-Palms.geo.tif_10300100DA368900-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.000165102,0.005964153,190,0,0,0,23,222,2
1001-Palmeto-Palms.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.008906759,0.319332332,986,352,77,14,51,1480,6
1001-Palmeto-Palms.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.008907503,0.319623322,1153,215,39,14,62,1483,15
1001-Palmeto-Palms.geo.tif_10400100703E5500-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,1/21/2022,PRE,0.305175781,0.008907805,0.319858497,0,0,0,0,3,3,113
1001-San-Carlos-Island.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.012387603,0.44747111,1475,0,0,0,5,1481,39
1001-San-Carlos-Island.geo.tif_10300100DA368900-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.008446749,0.304790038,121,78,21,55,11,287,4
1001-San-Carlos-Island.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.01238759,0.447381374,308,131,39,59,8,545,6
1001-San-Carlos-Island.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.012387593,0.447187452,312,113,32,59,26,542,30
1001-San-Carlos-Island.geo.tif_10400100703E5500-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,1/21/2022,PRE,0.305175781,0.012387596,0.447495025,529,0,0,0,5,546,105
1001-Summerlin-San-Carlos.geo.tif_10200100B01E7400-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,5/7/2021,PRE,0.305175781,0.008082907,0.291994371,833,0,0,0,30,873,1
1001-Summerlin-San-Carlos.geo.tif_10200100B0214600-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,4/29/2021,PRE,0.305175781,0.029338566,1.059542251,535,2,0,0,3,546,8
1001-Summerlin-San-Carlos.geo.tif_10300100DA570A00-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,10/3/2022,POST,0.305175781,0.029338193,1.056214112,1679,459,80,5,45,2275,51
1001-Summerlin-San-Carlos.geo.tif_10300100DB06A700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.029338265,1.058215099,1733,420,66,3,51,2273,6
1001-Summerlin-San-Carlos.geo.tif_10400100703E5500-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,1/21/2022,PRE,0.305175781,0.029338499,1.059394714,2237,0,0,0,23,2268,53
1002-Boca-Grande.1.geo.tif_10200100C0DA0700-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,2/24/2022,PRE,0.305175781,0.03241809,1.17082322,708,0,1,0,8,718,6
1002-Boca-Grande.1.geo.tif_10300100DA368900-visual.tif.geo.tif,Train,N/A,Satellite,MAXAR,Hurricane Ian,9/30/2022,POST,0.305175781,0.032801951,1.183376541,501,172,27,6,10,718,6
